rocket_id,design_id,regime_label,p_unstable,servo_slew_deg_s,exp4_full_go,exp1_go,baseline_agrees,n_decision_flips,candidate_false_optimism,candidate_false_pessimism,needs_paired_run,decision_flip_wind,decision_flip_slew,decision_flip_sensor_noise,decision_flip_backlash,decision_flip_thrust_var,decision_flip_latency,decision_flip_deadband
R0038,38,FRAGILE,1.7382234976413478,81.24647078736832,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0039,39,FRAGILE,1.99964665142533,119.75449796220347,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0040,40,INFEASIBLE,1.322329118111638,27.643493704518228,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0041,41,FRAGILE,1.3541987797406214,101.46048894374248,False,True,False,3,False,True,True,1,0,1,1,0,0,0
R0042,42,FRAGILE,0.6198514905650743,62.46994522212915,False,True,False,4,False,True,True,1,0,1,1,0,0,1
R0043,43,FRAGILE,1.3469324454697684,84.24399507107725,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0044,44,INFEASIBLE,1.4571927386402148,48.15386559174495,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0045,45,FRAGILE,1.4883302398653149,66.49910602958536,False,True,False,3,False,True,True,1,0,1,1,0,0,0
R0046,46,EASY,0.6409801600460483,118.88395227367984,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0047,47,EASY,0.7628403060218046,96.95112956891543,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0048,48,EASY,1.7811498642771169,36.30512862639189,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0049,49,FRAGILE,1.2818369854777871,101.15791835700868,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0050,50,FRAGILE,1.4673854652717233,109.99939046197558,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0051,51,FRAGILE,0.2711160642800891,35.34443321347817,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0052,52,EASY,1.428386919583402,100.82301085209464,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0053,53,FRAGILE,1.4653817706779189,89.92294152773168,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0054,54,INFEASIBLE,1.4245260136325468,89.5792530241814,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0055,55,EASY,1.4233409350398434,98.928934905864,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0056,56,FRAGILE,1.077813610988811,27.01604736616864,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0057,57,INFEASIBLE,0.3817727027903427,21.98880275722391,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0058,58,EASY,0.9219646387657436,61.22628826040735,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0059,59,FRAGILE,0.9045428983053236,98.65371320299305,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0060,60,FRAGILE,0.4745940473338668,84.43436751364754,True,True,True,1,False,False,True,0,0,0,0,0,0,1
R0061,61,FRAGILE,1.5185595828285074,45.479494449041255,False,True,False,3,False,True,True,1,0,1,1,0,0,0
R0062,62,EASY,1.0508110860327338,93.55048951856848,False,True,False,2,False,True,True,0,0,1,0,0,0,1
R0063,63,FRAGILE,1.2805990899290944,119.06163762138208,False,True,False,4,False,True,True,1,1,1,0,0,0,1
R0064,64,EASY,0.8162700053206947,107.82938549833288,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0065,65,FRAGILE,1.6010735796706932,115.66627155059068,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0066,66,EASY,1.5455963455177812,114.01557005451498,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0067,67,EASY,1.6492247482340143,89.7729013899291,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0068,68,FRAGILE,1.5498169529653478,98.08299936627222,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0069,69,EASY,0.5403626851997076,43.55877040056644,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0070,70,FRAGILE,1.489481704554884,78.02285253044039,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0071,71,FRAGILE,0.3513858545576239,94.05041606332996,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0072,72,FRAGILE,0.5891077187959757,101.80174560874688,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0073,73,EASY,0.8494467474308233,118.52136663624104,True,True,True,4,False,False,True,0,1,0,1,0,1,1
R0074,74,FRAGILE,1.411765038275104,79.75538488586946,False,True,False,3,False,True,True,1,0,1,1,0,0,0
R0075,75,EASY,0.9733770050869937,42.10387461974997,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0076,76,FRAGILE,0.6902159004701377,84.70870778694761,False,True,False,6,False,True,True,1,0,1,1,1,1,1
R0077,77,EASY,0.8460380518459405,55.474627789460335,True,True,True,2,False,False,True,0,1,0,0,0,1,0
R0078,78,FRAGILE,0.5106224970263217,97.05866392809084,True,True,True,2,False,False,True,0,1,0,0,0,1,0
R0079,79,INFEASIBLE,1.7603866433388533,33.2350423273045,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0080,80,INFEASIBLE,1.3531194899833374,44.42166508243271,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0081,81,FRAGILE,1.812374991720492,73.75389953959123,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0082,82,FRAGILE,2.044364075291173,96.12234282572116,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0083,83,EASY,0.330808706484445,30.698107604584315,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0084,84,EASY,0.7461233205102726,32.322580828568164,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0085,85,EASY,0.7794924712565302,100.38810719643708,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0086,86,INFEASIBLE,0.8145645694318278,60.33770536669451,False,False,True,4,True,False,True,1,1,1,1,0,0,0
R0087,87,INFEASIBLE,2.930422662255431,86.62999582431387,False,False,True,2,True,False,True,0,1,1,0,0,0,0
R0088,88,FRAGILE,2.0099139498744,111.861012570096,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0089,89,EASY,0.4308445971830409,50.14540775574771,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0090,90,FRAGILE,1.9800294640030576,46.09550130198773,False,True,False,3,False,True,True,0,1,1,1,0,0,0
R0091,91,FRAGILE,0.3324133522816439,102.10294439761984,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0092,92,EASY,0.7596797164042278,112.1782858400588,False,True,False,6,False,True,True,1,0,1,1,1,1,1
R0093,93,FRAGILE,1.910810818182568,90.0705030347852,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0094,94,FRAGILE,2.2813556105281965,109.513955892923,False,True,False,4,False,True,True,0,1,1,1,1,0,0
R0095,95,EASY,1.1457825834205102,74.50194466014861,False,True,False,7,False,True,True,1,1,1,1,1,1,1
R0096,96,EASY,1.6151792505197955,97.60426493502774,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0097,97,EASY,0.4617709526058868,112.79697361169217,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0098,98,EASY,0.6032292965091177,26.96712654017177,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0099,99,EASY,0.393974438422882,80.4095014708241,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0100,100,FRAGILE,2.204338923511325,66.01059508676882,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0101,101,INFEASIBLE,2.920822431134919,98.78320346229532,False,False,True,1,True,False,True,0,0,1,0,0,0,0
R0102,102,EASY,0.544619481290254,31.526945634790863,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0103,103,FRAGILE,0.9516797426257816,25.065401810447607,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0104,104,INFEASIBLE,1.3258257728395817,83.05327010945682,False,False,True,3,True,False,True,1,0,1,1,0,0,0
R0105,105,INFEASIBLE,0.3429138891036455,39.32316925298253,False,False,True,4,True,False,True,1,1,1,1,0,0,0
R0106,106,INFEASIBLE,1.986870566699748,60.15247156719512,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0107,107,EASY,1.1646541816410865,80.2611546161391,True,True,True,2,False,False,True,0,1,0,0,0,1,0
R0108,108,FRAGILE,0.6218047357880991,57.12818184071252,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0109,109,EASY,0.5790749747757549,47.68703837146055,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0110,110,FRAGILE,2.669315634566509,47.08012150005638,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0111,111,FRAGILE,0.8511278934686555,66.30224495103684,False,True,False,3,False,True,True,0,1,1,1,0,0,0
R0112,112,FRAGILE,1.6622176679265,87.76015438127871,False,True,False,5,False,True,True,1,0,1,1,1,0,1
R0113,113,EASY,1.735566911237191,75.93377078679853,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0114,114,EASY,1.3526578916572274,110.53177376848586,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0115,115,FRAGILE,1.268814244453665,92.0021319064076,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0116,116,EASY,0.2627315538916603,48.44118358303088,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0117,117,EASY,0.52434779653378,69.6193793238709,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0118,118,FRAGILE,1.3215223207708164,95.7641650684034,False,True,False,4,False,True,True,1,1,1,0,1,0,0
R0119,119,FRAGILE,0.4070324940586881,106.21196634517484,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0120,120,EASY,2.1019094711324326,96.73284835058224,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0121,121,INFEASIBLE,1.5007800651313965,27.1739626003087,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0122,122,INFEASIBLE,0.2933602415314942,62.25452552901463,True,False,False,3,True,False,True,0,1,0,0,1,0,1
R0123,123,FRAGILE,1.836221670339396,60.42194419234457,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0124,124,EASY,1.3196018224715849,72.2005869474042,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0125,125,INFEASIBLE,2.727642813569449,47.79765251137426,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0126,126,INFEASIBLE,1.6007518535742538,45.02195224224035,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0127,127,FRAGILE,1.052048721901683,78.57046474266483,True,True,True,2,False,False,True,0,0,0,0,0,1,1
R0128,128,EASY,2.52245563049882,107.0576388996706,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0129,129,FRAGILE,1.025960610032424,117.63659911988188,False,True,False,6,False,True,True,1,1,1,1,1,0,1
R0130,130,FRAGILE,1.877647958861732,112.31366689478163,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0131,131,EASY,1.1734154398319163,97.40990383329802,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0132,132,FRAGILE,0.4538039086724181,114.83376464886491,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0133,133,EASY,0.6965413089659195,58.48373453918178,True,True,True,4,False,False,True,0,0,0,1,1,1,1
R0134,134,INFEASIBLE,2.1828369012179696,48.19352428212879,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0135,135,INFEASIBLE,1.5336253945514566,40.09707285074328,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0136,136,FRAGILE,0.6621316411631292,71.55237139929946,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0137,137,FRAGILE,0.7755719463548971,119.64617703441624,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0138,138,INFEASIBLE,0.934886597175048,28.47783076061486,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0139,139,FRAGILE,1.3654078953889446,37.10142456048569,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0140,140,FRAGILE,0.8436894545868232,59.184930137123416,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0141,141,INFEASIBLE,2.2079509278176785,23.20809375525164,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0142,142,INFEASIBLE,1.4578305276988663,97.16994780953094,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0143,143,FRAGILE,1.8736606256715715,67.35101726244676,False,True,False,2,False,True,True,0,1,1,0,0,0,0
R0144,144,EASY,0.632196938692048,90.69067351578428,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0145,145,FRAGILE,1.4296135038737536,25.3444492639872,False,True,False,5,False,True,True,1,1,1,1,0,0,1
R0146,146,INFEASIBLE,2.899212353011167,55.52133377310875,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0147,147,INFEASIBLE,1.3627734083493128,91.34142560936417,False,False,True,3,True,False,True,1,0,1,1,0,0,0
R0148,148,INFEASIBLE,1.4943082647349502,75.28497998193808,False,False,True,4,True,False,True,1,1,1,1,0,0,0
R0149,149,INFEASIBLE,1.7542586901211903,62.39494135155534,False,False,True,2,True,False,True,0,1,1,0,0,0,0
R0150,150,FRAGILE,0.5096002131199577,31.007516948105565,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0151,151,EASY,0.867819495342039,77.41049412060511,True,True,True,1,False,False,True,0,0,0,0,0,1,0
R0152,152,EASY,1.0621385975263764,112.70840048121482,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0153,153,EASY,1.4850103267412282,79.04430662210879,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0154,154,INFEASIBLE,0.6433379113389187,33.73714307288221,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0155,155,EASY,1.2468571523364205,69.5125224840499,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0156,156,FRAGILE,0.5073398632721196,98.08892221179556,False,True,False,4,False,True,True,1,0,1,1,1,0,0
R0157,157,FRAGILE,0.4748663455901474,37.20439309656626,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0158,158,EASY,0.8628262000132071,90.64767768445394,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0159,159,EASY,2.0760181183578217,36.92926732390532,False,True,False,4,False,True,True,1,1,1,0,1,0,0
R0160,160,EASY,1.1950422435225168,59.82083003514598,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0161,161,EASY,0.3469368133044729,77.0539822922029,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0162,162,EASY,0.5149739519905588,113.8962028300992,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0163,163,INFEASIBLE,1.316360012914242,25.17067260082659,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0164,164,FRAGILE,0.9117798873839122,46.28567983528991,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0165,165,FRAGILE,1.425724309932085,31.652099384480582,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0166,166,FRAGILE,1.0257150706619114,91.06184216590437,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0167,167,FRAGILE,1.2826030459569884,48.679525049946086,True,True,True,1,False,False,True,0,0,0,0,0,1,0
R0168,168,EASY,0.4597529876703631,73.5793856244392,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0169,169,FRAGILE,1.3875092843801415,110.6655185537255,True,True,True,2,False,False,True,0,1,0,0,0,1,0
R0170,170,FRAGILE,1.1893255552608542,74.90830938345873,True,True,True,2,False,False,True,0,0,0,1,0,0,1
R0171,171,FRAGILE,1.1991116122741128,85.12958851991442,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0172,172,EASY,0.959260677529338,104.65575655732113,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0173,173,EASY,1.0564201761703071,93.84503910068256,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0174,174,FRAGILE,0.3998232657683599,104.359997088716,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0175,175,EASY,0.2818440903478773,104.25832572682135,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0176,176,EASY,0.4965359126263471,28.023867782507715,True,True,True,2,False,False,True,0,1,0,1,0,0,0
R0177,177,FRAGILE,0.7810043509773176,24.99097921321043,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0178,178,FRAGILE,1.693887059354172,43.48315714165363,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0179,179,EASY,1.0738213319637473,86.85276036932439,False,True,False,3,False,True,True,1,0,1,0,0,0,1
R0180,180,FRAGILE,0.8878623583011246,46.78313247890905,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0181,181,EASY,0.5918402445681628,107.50885473927364,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0182,182,EASY,1.0359399047259508,86.47860651987207,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0183,183,EASY,0.973501566031836,95.40706782889048,False,True,False,6,False,True,True,1,1,1,1,0,1,1
R0184,184,INFEASIBLE,1.798966348704947,93.09210595152376,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0185,185,EASY,1.2047365434189845,76.00647019678783,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0186,186,INFEASIBLE,1.736143725370377,22.77456063254353,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0187,187,INFEASIBLE,1.425116013928291,23.969304652982807,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0188,188,FRAGILE,0.9331718498889588,67.12217453060647,False,True,False,3,False,True,True,0,1,1,1,0,0,0
R0189,189,INFEASIBLE,2.088887660263784,33.96180197573654,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0190,190,FRAGILE,1.3792262628989778,115.4275788511436,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0191,191,INFEASIBLE,0.4310539576973922,28.592664270147704,False,False,True,3,True,False,True,1,0,1,1,0,0,0
R0192,192,EASY,1.095811450363847,63.24959522185189,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0193,193,FRAGILE,1.8724353316575704,51.91708254855635,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0194,194,FRAGILE,1.6949883693118637,116.04972720142248,False,True,False,3,False,True,True,0,0,1,0,1,0,1
R0195,195,FRAGILE,2.2394356892324256,74.63096727951321,False,True,False,3,False,True,True,1,1,1,0,0,0,0
R0196,196,EASY,0.6194386745748529,30.511454349965973,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0197,197,EASY,1.1517257040225175,41.16757567170834,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0198,198,FRAGILE,3.086633113180904,116.12814767248804,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0199,199,FRAGILE,0.9894036534707872,76.65411661713856,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0200,200,EASY,0.7982328933853698,23.03373422065621,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0201,201,EASY,0.5563868332011387,96.453676882927,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0202,202,EASY,0.5753668894697753,87.32771880790558,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0203,203,EASY,0.710163991779697,76.84765017895921,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0204,204,EASY,0.7774888803372335,91.64979956004134,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0205,205,FRAGILE,1.2352278875491831,94.61460328044296,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0206,206,EASY,0.8360180643752995,62.84771326229094,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0207,207,EASY,0.2683014095389677,85.46888470472845,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0208,208,INFEASIBLE,2.0097710220865506,24.75340866138574,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0209,209,EASY,1.0109378296826173,58.50412531084977,False,True,False,3,False,True,True,1,0,1,0,0,0,1
R0210,210,INFEASIBLE,2.2227893933799794,33.31393898777698,False,False,True,2,True,False,True,1,0,1,0,0,0,0
R0211,211,EASY,2.183414257652012,64.59054719501557,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0212,212,EASY,1.3724336152220165,77.49896689884034,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0213,213,FRAGILE,1.8758906127838584,108.288057568647,True,True,True,3,False,False,True,0,1,0,1,0,1,0
R0214,214,EASY,1.2114067510948472,98.43777235709685,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0215,215,EASY,1.7267752768938505,110.12123292489812,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0216,216,FRAGILE,1.1253062666312703,76.97213673110687,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0217,217,FRAGILE,1.861374095149455,104.1714579483972,False,True,False,2,False,True,True,1,0,1,0,0,0,0
R0218,218,EASY,0.8038209820704019,106.84277953682268,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0219,219,EASY,1.5030197349853631,67.647638647364,True,True,True,2,False,False,True,0,1,0,0,0,0,1
R0220,220,FRAGILE,2.26755598464534,80.03991869727037,False,True,False,1,False,True,True,0,0,1,0,0,0,0
R0221,221,EASY,0.4447166110827453,78.10588246170005,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0222,222,EASY,0.7320067937481458,53.99117147025076,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0223,223,EASY,1.0735505862628825,93.78214317912736,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0224,224,FRAGILE,1.840459574734697,77.32054231621882,True,True,True,3,False,False,True,1,1,0,1,0,0,0
R0225,225,FRAGILE,1.0074490163618914,87.0104290959329,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0226,226,EASY,0.6638298793883327,55.59229297189919,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0227,227,FRAGILE,0.9811018579666796,72.66565492492316,False,True,False,4,False,True,True,1,0,1,1,1,0,0
R0228,228,FRAGILE,1.1847979477829476,27.833107727193685,False,True,False,4,False,True,True,1,1,1,1,0,0,0
R0229,229,FRAGILE,1.888778802917749,119.23541851354273,False,True,False,4,False,True,True,1,1,1,0,1,0,0
R0230,230,FRAGILE,1.266949227391601,79.50982685754681,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0231,231,INFEASIBLE,1.146678491476588,26.87956121116672,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0232,232,INFEASIBLE,1.6528737511986642,33.061688145659446,False,False,True,3,True,False,True,1,1,1,0,0,0,0
R0233,233,INFEASIBLE,3.3653554147102613,77.68034475239422,False,False,True,1,True,False,True,0,0,1,0,0,0,0
R0234,234,FRAGILE,0.429524389607128,35.66155799451888,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0235,235,FRAGILE,1.0613825932012464,63.330975641196815,True,True,True,1,False,False,True,0,0,0,1,0,0,0
R0236,236,FRAGILE,1.061960157508746,65.37789896070305,False,True,False,5,False,True,True,1,1,1,1,1,0,0
R0237,237,EASY,0.2632800210478809,57.38569072834754,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0238,238,EASY,1.0573847848871198,104.46831370134171,True,True,True,1,False,False,True,0,1,0,0,0,0,0
R0239,239,EASY,0.7887232895975276,79.22352313876588,True,True,True,0,False,False,False,0,0,0,0,0,0,0
R0240,240,INFEASIBLE,2.486692348538003,64.1567928956371,False,False,True,3,True,False,True,1,1,1,0,0,0,0
